Date,Time,Temp (°C) c:1,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
13-06-22,4:30:00,24.992,,,,,
13-06-22,4:40:00,24.968,,,,,
13-06-22,4:50:00,24.919,,,,,
13-06-22,5:00:00,24.871,,,,,
13-06-22,5:10:00,24.847,,,,,
13-06-22,5:20:00,24.847,,,,,
13-06-22,5:30:00,24.798,,,,,
13-06-22,5:40:00,24.75,,,,,
13-06-22,5:50:00,24.677,,,,,
13-06-22,6:00:00,24.629,,,,,
13-06-22,6:10:00,24.605,,,,,
13-06-22,6:20:00,24.605,,,,,
13-06-22,6:30:00,24.581,,,,,
13-06-22,6:40:00,24.557,,,,,
13-06-22,6:50:00,24.532,,,,,
13-06-22,7:00:00,24.532,,,,,
13-06-22,7:10:00,24.508,,,,,
13-06-22,7:20:00,24.484,,,,,
13-06-22,7:30:00,24.484,,,,,
13-06-22,7:40:00,24.46,,,,,
13-06-22,7:50:00,24.412,,,,,
13-06-22,8:00:00,24.412,,,,,
13-06-22,8:10:00,24.412,,,,,
13-06-22,8:20:00,24.363,,,,,
13-06-22,8:30:00,24.339,,,,,
13-06-22,8:40:00,24.339,,,,,
13-06-22,8:50:00,24.315,,,,,
13-06-22,9:00:00,24.315,,,,,
13-06-22,9:10:00,24.339,,,,,
13-06-22,9:20:00,24.339,,,,,
13-06-22,9:30:00,24.388,,,,,
13-06-22,9:40:00,24.436,,,,,
13-06-22,9:50:00,24.508,,,,,
13-06-22,10:00:00,24.605,,,,,
13-06-22,10:10:00,24.726,,,,,
13-06-22,10:20:00,24.774,,,,,
13-06-22,10:30:00,24.895,,,,,
13-06-22,10:40:00,24.968,,,,,
13-06-22,10:50:00,25.016,,,,,
13-06-22,11:00:00,25.065,,,,,
13-06-22,11:10:00,25.21,,,,,
13-06-22,11:20:00,25.38,,,,,
13-06-22,11:30:00,25.671,,,,,
13-06-22,11:40:00,25.841,,,,,
13-06-22,11:50:00,26.109,,,,,
13-06-22,12:00:00,26.353,,,,,
13-06-22,12:10:00,26.475,,,,,
13-06-22,12:20:00,26.695,,,,,
13-06-22,12:30:00,26.94,,,,,
13-06-22,12:40:00,27.21,,,,,
13-06-22,12:50:00,27.53,,,,,
13-06-22,13:00:00,27.751,,,,,
13-06-22,13:10:00,27.924,,,,,
13-06-22,13:20:00,27.949,,,,,
13-06-22,13:30:00,27.998,,,,,
13-06-22,13:40:00,28.122,,,,,
13-06-22,13:50:00,28.295,,,,,
13-06-22,14:00:00,28.518,,,,,
13-06-22,14:10:00,28.642,,,,,
13-06-22,14:20:00,28.841,,,,,
13-06-22,14:30:00,28.916,,,,,
13-06-22,14:40:00,28.866,,,,,
13-06-22,14:50:00,29.015,,,,,
13-06-22,15:00:00,28.99,,,,,
13-06-22,15:10:00,29.04,,,,,
13-06-22,15:20:00,29.04,,,,,
13-06-22,15:30:00,29.015,,,,,
13-06-22,15:40:00,28.99,,,,,
13-06-22,15:50:00,29.065,,,,,
13-06-22,16:00:00,29.04,,,,,
13-06-22,16:10:00,28.99,,,,,
13-06-22,16:20:00,28.941,,,,,
13-06-22,16:30:00,28.916,,,,,
13-06-22,16:40:00,28.916,,,,,
13-06-22,16:50:00,28.841,,,,,
13-06-22,17:00:00,28.841,,,,,
13-06-22,17:10:00,28.766,,,,,
13-06-22,17:20:00,28.766,,,,,
13-06-22,17:30:00,28.717,,,,,
13-06-22,17:40:00,28.642,,,,,
13-06-22,17:50:00,28.543,,,,,
13-06-22,18:00:00,28.419,,,,,
13-06-22,18:10:00,28.345,,,,,
13-06-22,18:20:00,28.221,,,,,
13-06-22,18:30:00,28.097,,,,,
13-06-22,18:40:00,27.998,,,,,
13-06-22,18:50:00,27.875,,,,,
13-06-22,19:00:00,27.727,,,,,
13-06-22,19:10:00,27.628,,,,,
13-06-22,19:20:00,27.53,,,,,
13-06-22,19:30:00,27.431,,,,,
13-06-22,19:40:00,27.308,,,,,
13-06-22,19:50:00,27.235,,,,,
13-06-22,20:00:00,27.161,,,,,
13-06-22,20:10:00,27.087,,,,,
13-06-22,20:20:00,27.014,,,,,
13-06-22,20:30:00,26.94,,,,,
13-06-22,20:40:00,26.867,,,,,
13-06-22,20:50:00,26.818,,,,,
13-06-22,21:00:00,26.744,,,,,
13-06-22,21:10:00,26.695,,,,,
13-06-22,21:20:00,26.622,,,,,
13-06-22,21:30:00,26.573,,,,,
13-06-22,21:40:00,26.549,,,,,
13-06-22,21:50:00,26.475,,,,,
13-06-22,22:00:00,26.426,,,,,
13-06-22,22:10:00,26.378,,,,,
13-06-22,22:20:00,26.329,,,,,
13-06-22,22:30:00,26.182,,,,,
13-06-22,22:40:00,26.085,,,,,
13-06-22,22:50:00,26.012,,,,,
13-06-22,23:00:00,25.914,,,,,
13-06-22,23:10:00,25.866,,,,,
13-06-22,23:20:00,25.793,,,,,
13-06-22,23:30:00,25.72,,,,,
13-06-22,23:40:00,25.671,,,,,
13-06-22,23:50:00,25.598,,,,,
14-06-22,0:00:00,25.55,,,,,
14-06-22,0:10:00,25.477,,,,,
14-06-22,0:20:00,25.428,,,,,
14-06-22,0:30:00,25.428,,,,,
14-06-22,0:40:00,25.453,,,,,
14-06-22,0:50:00,25.404,,,,,
14-06-22,1:00:00,25.355,,,,,
14-06-22,1:10:00,25.355,,,,,
14-06-22,1:20:00,25.331,,,,,
14-06-22,1:30:00,25.307,,,,,
14-06-22,1:40:00,25.283,,,,,
14-06-22,1:50:00,25.234,,,,,
14-06-22,2:00:00,25.162,,,,,
14-06-22,2:10:00,25.137,,,,,
14-06-22,2:20:00,25.113,,,,,
14-06-22,2:30:00,25.113,,,,,
14-06-22,2:40:00,25.089,,,,,
14-06-22,2:50:00,25.089,,,,,
14-06-22,3:00:00,25.04,,,,,
14-06-22,3:10:00,24.992,,,,,
14-06-22,3:20:00,24.968,,,,,
14-06-22,3:30:00,24.919,,,,,
14-06-22,3:40:00,24.871,,,,,
14-06-22,3:50:00,24.823,,,,,
14-06-22,4:00:00,24.774,,,,,
14-06-22,4:10:00,24.702,,,,,
14-06-22,4:20:00,24.677,,,,,
14-06-22,4:30:00,24.605,,,,,
14-06-22,4:40:00,24.581,,,,,
14-06-22,4:50:00,24.532,,,,,
14-06-22,5:00:00,24.532,,,,,
14-06-22,5:10:00,24.484,,,,,
14-06-22,5:20:00,24.412,,,,,
14-06-22,5:30:00,24.363,,,,,
14-06-22,5:40:00,24.339,,,,,
14-06-22,5:50:00,24.339,,,,,
14-06-22,6:00:00,24.315,,,,,
14-06-22,6:10:00,24.291,,,,,
